City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Klaksvik,FO,62.2266,-6.589,8.0,61,6,2.06,clear sky
271,Pilar,BR,-9.5972,-35.9567,25.0,94,75,2.06,broken clouds
272,Sabha,LY,27.0377,14.4283,25.11,16,0,0.17,clear sky
273,Buala,SB,-8.145,159.5921,27.06,79,33,1.28,scattered clouds
274,Severo-Kurilsk,RU,50.6789,156.125,-2.2,79,80,8.01,broken clouds
275,Akdepe,TM,42.0551,59.3788,18.0,19,0,10.29,clear sky
276,Batsfjord,NO,70.6345,29.7185,0.0,93,75,4.63,light snow
277,Simpang,ID,-1.2667,104.0833,26.45,82,99,2.27,overcast clouds
278,Mpongwe,ZM,-13.5091,28.155,26.22,48,49,2.6,scattered clouds
279,Terney,RU,45.0503,136.6092,3.81,74,100,3.26,overcast clouds
280,Paka,MY,4.6374,103.4368,30.0,79,40,2.57,scattered clouds
281,Banmankhi,IN,25.8833,87.1833,33.9,4,0,2.93,clear sky
282,Pachino,IT,36.7186,15.0907,20.0,42,2,4.12,clear sky
283,Puerto Cabello,VE,10.4731,-68.0125,23.0,78,20,1.87,few clouds
284,Larreynaga,NI,12.6769,-86.5719,23.93,63,2,1.48,clear sky
285,Galesong,ID,-5.3166,119.3661,26.0,100,20,1.54,few clouds
286,Nicolas Bravo,MX,18.45,-88.9167,22.78,90,35,3.13,scattered clouds
287,Tevriz,RU,57.509,72.4042,1.33,97,100,5.0,overcast clouds
288,Ewa Beach,US,21.3156,-158.0072,23.0,73,1,2.06,clear sky
289,Shingu,JP,33.7333,135.9833,17.0,67,40,6.17,scattered clouds
290,Itamarandiba,BR,-17.8572,-42.8589,22.79,77,11,1.59,few clouds
291,Bud,US,39.447,-86.1758,-5.0,93,1,0.64,clear sky
292,San Cristobal,VE,7.7669,-72.225,23.0,100,40,1.03,fog
293,Hamilton,US,39.1834,-84.5333,-3.33,74,1,1.54,clear sky
294,Caravelas,BR,-17.7125,-39.2481,26.32,84,20,1.58,few clouds
295,Hillsborough,US,37.5741,-122.3794,11.67,87,90,1.54,overcast clouds
296,Quelimane,MZ,-17.8786,36.8883,29.0,61,75,2.06,broken clouds
297,Tzucacab,MX,20.0667,-89.05,21.72,82,62,2.69,broken clouds
298,Strai,NO,58.2,7.9,12.0,30,0,5.66,clear sky
299,Channel-Port Aux Basques,CA,47.5702,-59.1367,2.99,95,100,11.41,overcast clouds
300,Camacha,PT,33.0833,-16.3333,18.0,68,75,5.14,broken clouds
301,Usinsk,RU,65.9939,57.5281,0.42,92,100,4.49,overcast clouds
302,Tra Vinh,VN,9.9347,106.3453,28.58,71,54,3.77,broken clouds
303,Narasannapeta,IN,18.4167,84.05,29.4,70,67,4.28,broken clouds
304,Tateyama,JP,34.9833,139.8667,16.67,70,5,0.89,clear sky
305,General Roca,AR,-39.0333,-67.5833,16.0,77,0,3.09,clear sky
306,Salalah,OM,17.0151,54.0924,32.0,58,0,4.63,clear sky
307,Khorixas,NA,-20.3667,14.9667,30.8,32,27,4.92,scattered clouds
308,Pangnirtung,CA,66.1451,-65.7125,-29.0,63,1,1.6,clear sky
309,Saint-Louis,SN,16.3333,-15.0,37.0,15,0,1.03,clear sky
310,San Rafael,AR,-34.6177,-68.3301,17.97,67,65,2.91,broken clouds
311,Northam,GB,51.0333,-4.2167,10.56,74,4,6.71,clear sky
312,Aban,RU,56.67,96.06,0.73,92,99,4.28,overcast clouds
313,Sendhwa,IN,21.6833,75.1,36.59,8,5,3.55,clear sky
314,Samoded,RU,63.6083,40.5111,2.2,76,87,2.44,light rain
315,Xining,CN,36.6167,101.7667,1.58,78,100,3.32,overcast clouds
316,Vieux-Habitants,GP,16.0589,-61.7659,25.0,83,40,3.09,scattered clouds
317,Tiarei,PF,-17.5333,-149.3333,26.0,78,20,1.54,few clouds
318,Shimanovsk,RU,52.0,127.7,1.12,93,100,7.31,light snow
319,San Vicente,AR,-26.6167,-54.1333,19.09,54,1,0.7,clear sky
320,Bethel,US,41.3712,-73.414,-3.89,59,2,2.24,clear sky
321,Comodoro Rivadavia,AR,-45.8667,-67.5,12.0,94,0,0.51,clear sky
322,Teknaf,BD,20.8624,92.3058,27.52,77,3,4.58,clear sky
323,College,US,64.8569,-147.8028,-18.33,71,75,1.42,light snow
324,Kanchanaburi,TH,14.6333,99.1,29.79,55,100,1.61,moderate rain
325,Egvekinot,RU,66.3167,-179.1667,-17.48,93,100,6.59,light snow
326,Santona,ES,43.4439,-3.4576,17.0,77,20,4.12,few clouds
327,Okha,RU,53.5739,142.9478,-1.55,94,60,4.46,broken clouds
328,Nevers,FR,46.9167,3.3333,18.0,59,0,8.23,clear sky
329,Vila Velha,BR,-20.3297,-40.2925,24.0,78,0,1.54,clear sky
330,Kenora,CA,49.8167,-94.4337,1.0,44,75,6.17,broken clouds
331,Banda Aceh,ID,5.5577,95.3222,27.35,76,100,5.79,overcast clouds
332,Cidreira,BR,-30.1811,-50.2056,21.12,77,50,4.7,scattered clouds
333,Hambantota,LK,6.1241,81.1185,32.0,70,20,6.69,few clouds
334,Talnakh,RU,69.4865,88.3972,-20.87,83,27,2.01,scattered clouds
335,Vydrino,RU,51.485,104.8461,-2.33,80,8,2.28,clear sky
336,Arlit,NE,18.7369,7.3853,32.78,5,0,3.95,clear sky
337,Gilgit,PK,35.9221,74.3087,9.95,28,1,1.56,clear sky
338,Kindu,CD,-2.95,25.95,31.51,50,64,1.65,broken clouds
339,Agadir,MA,30.4202,-9.5982,22.0,53,0,3.72,clear sky
340,Turbat,PK,26.0023,63.044,39.72,5,0,7.64,clear sky
341,Sibolga,ID,1.7427,98.7792,26.87,81,74,0.12,very heavy rain
342,Takayama,JP,36.1333,137.25,14.44,72,75,1.56,broken clouds
343,Hualmay,PE,-11.0964,-77.6139,20.19,85,56,2.03,broken clouds
344,Santiago Del Estero,AR,-27.7951,-64.2615,20.59,57,53,3.61,broken clouds
345,Clarence Town,AU,-32.5833,151.7833,17.22,94,0,0.93,clear sky
